stock_id,sector,business_model,geographic_focus,business_maturity,competitive_position,market_cap_category,revenue_tier,profitability_profile,asset_intensity,financial_strength
US001,Industrials,B2B,Domestic,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Stable
US002,Industrials,B2B,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Capital_Intensive,Stable
US003,Healthcare,B2C,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Stable
US004,Healthcare,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US005,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US006,Technology,Platform,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US007,Technology,B2B,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US008,Utilities,B2B,Domestic,Mature,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Developing
US009,Finance,B2C,Domestic,Growth,Market_Leader,Large,Tier_1,Low_Margin,Capital_Intensive,Strong
US010,Healthcare,B2C,Global,Mature,Market_Leader,Mid,Tier_2,High_Margin,Capital_Intensive,Strong
US011,Materials,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Strong
US012,Consumer_Discretionary,B2C,International,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US013,Technology,Platform,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US014,Materials,B2B,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Stable
US015,Real_Estate,B2B,International,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US016,Healthcare,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US017,Industrials,B2B,Global,Mature,Market_Leader,Mid,Tier_2,High_Margin,Capital_Intensive,Stable
US018,Utilities,B2C,International,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Developing
US019,Finance,B2C,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Moderate,Strong
US020,Communication,Platform,Global,Mature,Market_Leader,Large,Tier_1,Standard,Capital_Intensive,Stable
US021,Communication,Platform,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Capital_Intensive,Stable
US022,Consumer_Staples,B2C,Global,Growth,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US023,Consumer_Discretionary,Platform,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US024,Consumer_Discretionary,B2C,International,Growth,Strong_Player,Mid,Tier_2,Low_Margin,Moderate,Strong
US025,Utilities,B2B,Global,Cyclical,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Strong
US026,Utilities,B2B,Global,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US027,Finance,B2C,Global,Mature,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US028,Finance,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US029,Real_Estate,B2B,Global,Growth,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US030,Utilities,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Strong
US031,Finance,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Asset_Light,Strong
US032,Industrials,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Capital_Intensive,Developing
US033,Healthcare,B2B,International,Mature,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US034,Technology,B2B,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US035,Technology,B2B,International,Growth,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US036,Finance,B2C,International,Cyclical,Market_Leader,Large,Tier_1,Standard,Asset_Light,Strong
US037,Energy,B2B,International,Mature,Market_Leader,Mid,Tier_2,Standard,Capital_Intensive,Developing
US038,Finance,B2C,Global,Cyclical,Market_Leader,Large,Tier_1,Standard,Moderate,Strong
US039,Technology,B2B,International,Mature,Market_Leader,Large,Tier_1,High_Margin,Asset_Light,Strong
US040,Technology,B2B,Global,Growth,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US041,Consumer_Discretionary,B2C,Global,Growth,Strong_Player,Mid,Tier_2,Standard,Asset_Light,Stable
US042,Finance,B2C,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Strong
US043,Consumer_Staples,B2C,Global,Growth,Market_Leader,Mid,Tier_2,Standard,Moderate,Stable
US044,Technology,B2B,Global,Mature,Strong_Player,Large,Tier_1,High_Margin,Asset_Light,Strong
US045,Finance,B2C,International,Mature,Strong_Player,Large,Tier_1,Standard,Asset_Light,Strong
US046,Finance,B2C,International,Growth,Strong_Player,Mid,Tier_2,Standard,Moderate,Stable
US047,Communication,B2B,Global,Cyclical,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US048,Utilities,B2B,Global,Mature,Market_Leader,Mid,Tier_2,Low_Margin,Moderate,Stable
US049,Technology,Platform,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US050,Technology,Platform,Global,Mature,Market_Leader,Large,Tier_1,High_Margin,Moderate,Strong
US051,Consumer_Discretionary,B2C,Global,Mature,Strong_Player,Large,Tier_1,Standard,Moderate,Stable
US052,Real_Estate,B2C,Global,Growth,Strong_Player,Mid,Tier_2,High_Margin,Moderate,Strong
US053,Consumer_Discretionary,B2C,Global,Cyclical,Market_Leader,Mid,Tier_2,Standard,Moderate,Strong
US054,Industrials,B2B,Domestic,Mature,Strong_Player,Large,Tier_1,Standard,Capital_Intensive,Strong
